Industry,Value
Manufacturing,79.0
"Water Supply, Sewerage, Waste Management And Remediation Activities",90.0
Construction,73.2
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,75.2
Accommodation And Food Service Activities,18.2
Transportation And Storage,91.5
Information And Communication,95.0
"Professional, Scientific And Technical Activities",96.7
Administrative And Support Service Activities,91.5
Education,86.8
Human Health And Social Work Activities,93.7
"Arts, Entertainment And Recreation",20.5
All Industries,76.7
